name,city,address,accepts,work_hours,phone_number,website
name,city,address,accepts,work_hours,phone_number,website
"КурганАгрозапчасть","Курган","ул.Омская, 179ж","Черный и цветной металл","с 8.00 до 17.00 Суббота и воскресенье выходной","3522 54-55-06",""
"Интермет","Курган","ул.Омская, 139 ст 6","Черный и цветной металл","с 8.00 до 17.00 Суббота и воскресенье выходной","89225619000",""
"Пункт приема","Курган","Курганская обл, с.Кетово, ул.Энергетиков, 1ж","Черный и цветной металл","с 8 до 18. Суббота и воскресенье с 8 до 14","",""
"Вторчерметсервис+","Курган","ул.Омская, 140к","Черный и цветной металл","Ежедневно с 8.30 до 18.00","89512706292, 89058511117, 89125777706",""
"Металлист","Курган","ул.Тропинина, 22/1","Черный и цветной металл","Ежедневно с 8.00 до 19.00","8 3522 559090",""
"МеталлНаш","Курган","ул.Гагарина, 20","Черный и цветной металл","Ежедневно с 8.00 до 19.00","89097239220",""
"АкрсСкрапУрал","Курган","ул.Промышленная, 12а/2","Черный и цветной металл","Понедельник-пятница с 8.00 до 20.00, Суббота с 8.00 до 15.00, Воскресенье выходной","89221738658, 8 3522 222736",""
"Тюмень-метстрой","Курган","ул.К.Мяготина, 45","Черный и цветной металл","с 8.00 до 17.00, Перерыв с 12 до 13. Суббота и воскресенье выходной","8 3522 65-00-95",""
"Фаворит","Курган","ул.Бажова, 49а ст2","Черный и цветной металл","с 8.00 до 20.00 Суббота и воскресенье выходной","8 3522 55-80-03",""
"Уралмет","Курган","ул.Омская, 169Б","Черный и цветной металл","с 8.00 до 18.00, Перерыв с 12 до 13. Суббота с 8 до 14. Воскресенье выходной","89195722143, 89638684501",""
"Мирамет","Курган","ул.Бажова, 97 ст1","Черный и цветной металл","с 7.30 до 16.30 Суббота и воскресенье выходной","8 3522 644741",""
"ЛомПрием","Курган","ул.Омская, 144 ст2","Черный и цветной металл","Понедельник-пятница с 8.00 до 17.00, Суббота с 9.00 до 14.00, Воскресенье выходной","8 3522 555025",""
"Пункт приема","Курган","ул.Сибирская, 2/4","Черный и цветной металл","с 8 до 18. Суббота и воскресенье с 8 до 14","89128355687",""
"Пункт приема","Курган","ул.Бажова, 49/4","Черный и цветной металл","Ежедневно с 8.00 до 19.00","89120644402",""
"Металлобаза 1","Курган","пр-т Конституции, 37","Черный и цветной металл","с 9.30 до 18.00. Воскресенье выходной","89630043858",""
"Мета-Челябинск","Курган","ул.Омская, 179а","Черный и цветной металл","с 8.00 до 17.00, Перерыв с 12 до 13. Суббота и воскресенье выходной","89676388464",""
"МетаЛайн","Курган","пр-т Машиностроителей, 31 к4","Чермет","Понедельник-пятница с 8.00 до 18.00, Суббота с 8.00 до 14.00, Воскресенье выходной","8 3522 555213, 8 3522 650501",""
"ЛомПрием","Курган","Бульвар Мира, 3/1","Черный и цветной металл","Ежедневно с 8.00 до 18.00","8 3522 555025",""
"Пункт приема","Курган","ул.Бурова-Петрова, 122л","Черный и цветной металл","Ежедневно с 8.00 до 19.00","89195791124",""
"Алмас","Курган","ул.Выгонная, 13","Черный и цветной металл","с 9.00 до 18.00, Перерыв с 12 до 13. Воскресенье выходной","8912838-01-52",""
